Film,Lead Studio,Rotten Tomatoes,Audience  score,Story,Genre,Number of Theatres in Opening Weekend (US),Box Office Average per US Cinema (Opening Weekend),Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Proftitability,Opening Weekend,Oscar,Bafta,Source,,,,,,
,,,,,,,($),($m),($m),($m),($m),% of budget recovered,($m),,,,,,,,,
Greenberg,Independent,75,40,Transformation,Comedy,3,39384,4.23,1.92,6.15,,,0.11,,,,,,,,,
Grown Ups,Independent,10,59,Comedy,Comedy,3534,11462,162.00,109.43,271.43,80,339.29%,40.5,,,,,,,,,
Gulliver's Travels,Fox,21,31,Journey and Return,Comedy,2546,2477,42.78,194.60,237.382,112,211.95%,6.3,,,,,,,,,
Harry Potter and the Deathly Hallows Part 1,Warner Bros.,79,87,Quest,Adventure,4125,30307,295.00,664.30,959.3,125,767.44%,125,,,http://boxofficemojo.com/movies,,,,,,
Hot Tub Time Machine,MGM,64,57,Journey and Return,Adventure,2754,5091,50.29,14.28,64.571,36,179.36%,14,,,,,,,,,
How to Train Your Dragon,Paramount,98,90,Underdog,Animation,4055,10785,217.58,277.30,494.88,165,299.93%,43.7,,,,,,,,,
I Love You Phillip Morris,Independent,71,57,Love,Comedy,100,,2.04,18.69,20.722,15,138.15%,0.11,,,,,,,,,
Inception,Warner Bros.,86,93,Journey and Return,Action,3792,16557,292.58,532.96,825.536,160,515.96%,62.8,,,,,,,,,
Iron Man 2,Paramount,74,80,Rivalry,Action,4380,29252,312.43,311.50,623.93,200,311.97%,128.1,,,,,,,,,
Jackass 3-D,Paramount,63,72,Comedy,Documentary,3081,16343,117.23,54.46,171.685,20,858.43%,50.4,,,,,,,,,
Jonah Hex,Warner Bros.,13,24,Revenge,Action,2825,1904,10.55,0.36,10.91,47,23.21%,5.4,,,,,,,,,
Just Wright,Fox,45,58,Love,Comedy,1831,4525,21.54,0.03,21.569,12,179.74%,8.3,,,http://forum.blu-ray.com/movies/141938-just-wright-review-thread-use-spoiler-tags.html. *NB unofficial budget figure - see links for sources,http://www.shadowandact.com/?p=23430,,,,,
