Studio,Genre,Film,Gross,,
Summit,Drama,The Beaver,6.37,0.027239699,
The Weinstein Company,Horror,Apollo 18,25.56,0.109300895,2.229665554
The Weinstein Company,Drama,My Week with Marilyn,35.06,0.149925249,
The Weinstein Company,Comedy,Our Idiot Brother,24.82,0.106136471,
The Weinstein Company,Horror,Scream 4,97.14,0.415394715,
The Weinstein Company,Action,Spy Kids: All The Time in the World,85.56,0.365875765,
The Weinstein Company,Drama,The Artist,133.432,0.570588301,
The Weinstein Company,Drama,The Company Men,4.88,0.020868089,
The Weinstein Company,Drama,The Iron Lady,114.955,0.49157607,
Universal,Action,Cowboys and Aliens,174.82,0.747573646,4.68890575
Universal,Action,Fast Five,626.13,2.677487056,
Universal,Action,Hanna,63.78,0.272739087,
Universal,Romance,Jane Eyre,34.71,0.148428562,
Universal,Drama,Larry Crowne,72.01,0.307932607,
Universal,Thriller,The Debt,45.64,0.195167951,
Universal,Action,The Eagle,27.12,0.115971841,
Universal,Horror,The Thing,27.43,0.117297478,
Universal,Comedy,Your Highness,24.86,0.106307521,
Vertigo Entertainment,Action,Abduction,82.09,0.351037185,0.351037185
Village Roadshow Pictures,Animation,Happy Feet 2,150.41,0.643190437,0.643190437
Virgin,Thriller,Limitless,161.85,0.692110712,0.692110712
Warner Bros.,Comedy,Arthur,45.74,0.195595576,14.28398057
Warner Bros.,Thriller,Contagion,135.46,0.579260532,
Warner Bros.,Romance,"Crazy, Stupid, Love",142.85,0.610862003,
Warner Bros.,Romance,Friends With Benefits,149.54,0.639470101,
Warner Bros.,Action,Green Lantern,219.85,0.940133086,
Warner Bros.,Comedy,Hall Pass,83.16,0.35561277,
Warner Bros.,Fantasy,Harry Potter and the Deathly Hallows Part 2,"1,341.51",5.736629231,
Warner Bros.,Comedy,Horrible Bosses,209.64,0.896472596,
Warner Bros.,Drama,J.Edgar,84.61,0.361813329,
Warner Bros.,Horror,Red Riding Hood,89.16,0.381270257,
Warner Bros.,Action,Sherlock Holmes 2,545.45,2.332479381,
Warner Bros.,Horror,The Rite,96.05,0.410733604,
Warner Bros.,Drama,Extremely Loud and Incredibly Close,55.247,0.236249864,
Warner Bros.,Romance,New Year's Eve,142.04,0.607398242,
,,,23384.987,,100
