Film,Lead Studio,RottenTomatoes,Audience  score,Story,Genre,Worldwide Gross,Total,,
Paul,Relativity,72,70,Comedy,Comedy,97.98,,0,0
Season Of The Witch,Relativity,10,32,Monster Force,Action,91.63,,0,0
Shark Night 3D,Relativity,16,25,Escape,Horror,40.14,,0,0
Take Me Home Tonight,Relativity,28,46,Discovery,Comedy,6.93,,0,0
Tower Heist,Relativity,68,61,Revenge,Comedy,152.92,,0,0
Anonymous,Relativity Media,46,66,Tragedy,Drama,15.39,,0,0
Battle: Los Angeles,Relativity Media,35,50,Monster Force,Action,211.82,,0,0
Bridesmaids,Relativity Media,90,77,Rivalry,Comedy,288.38,,0,0
Hop,Relativity Media,26,50,Fish Out Of Water,Animation,183.95,,0,0
Immortals,Relativity Media,36,59,Revenge,Action,226.9,,0,0
Johnny English Reborn,Relativity Media,38,55,Comedy,Comedy,160.08,,0,0
Sanctum,Relativity Media,30,39,Quest,Action,108.61,,0,0
The Change Up,Relativity Media,24,53,Metamorphosis,Comedy,75.45,1660.18,0.071098942,7.109894242
Everything Must Go,Reliance Entertainment,74,53,Discovery,Drama,2.71,2.71,0.000116059,0.011605858
Colombiana,Sony,28,55,Revenge,Action,60.97,,0,0
Insidious,Sony,67,65,Monster Force,Horror,97.01,,0,0
Midnight in Paris,Sony,93,84,Love,Romance,151.12,,0,0
Priest,Sony,17,37,Monster Force,Action,78.31,,0,0
Soul Surfer,Sony,46,79,Underdog,Drama,47.09,,0,0
The Girl With The Dragon Tattoo,Sony,87,89,,Thriller,232.161,,0,0
The Smurfs,Sony Pictures Animation,23,50,Fish Out Of Water,Animation,563.75,1230.411,0.052693636,5.269363614
Footloose,Spyglass Entertainment,71,71,Transformation,Drama,63.54,,0,0
No Strings Attached,Spyglass Entertainment,49,57,Comedy,Comedy,149.23,,0,0
The Dilemma,Spyglass Entertainment,23,31,Comedy,Comedy,69.72,282.49,0.012097929,1.209792929
Source Code,Summit Entertainment,92,81,The Riddle,Thriller,147.33,,0,0
The Beaver,Summit Entertainment,62,57,Transformation,Drama,6.37,153.7,0.006582363,0.658236303
My Week with Marilyn,The Weinstein Company,83,84,Love,Drama,35.06,,0,0
Our Idiot Brother,The Weinstein Company,68,79,Comedy,Comedy,24.82,59.88,0.002564424,0.256442354
